性別,球隊,分類,動作,球員,異動,0
men,steelers,signed,Via 選秀,王凱裕,第二輪第3順位,
men,steelers,signed,Via 選秀,林心翔,第四輪第1順位,
men,steelers,signed,Via 選秀,朱育君,第五輪第1順位,
men,mars,signed,Via 選秀,雷蒙恩,第一輪第1順位,
men,lioneers,signed,Via 選秀,蔡宸綱,第一輪第2順位,
men,leopards,signed,Via 選秀,汪哲宇,第一輪第3順位,
men,aquas,signed,Via 選秀,魏莨哲,第一輪第4順位,
men,dea,signed,Via 選秀,余維豪,第一輪第5順位,
men,mars,signed,Via 選秀,江均,第一輪第6順位,
men,dreamers,signed,Via 選秀,史承平,第二輪第3順位,
men,leopards,signed,Via 選秀,莊博元,第二輪第4順位,
men,bll,signed,Via 選秀,王家昌,第一輪第1順位,
men,yulon,signed,Via 選秀,阿美,第一輪第2順位,
men,bank,signed,Via 選秀,王書府,第一輪第3順位,
men,yulon,signed,Via 選秀,蒲國倫,第二輪第2順位,
women,cht,signed,Via 選秀,張家瑄,第一輪第1順位,
women,taipower,signed,Via 選秀,宋瑞蓁,第一輪第2順位,
women,cathay,signed,Via 選秀,劉倩伶,第一輪第3順位,
women,taiyuen,signed,Via 選秀,趙云楓,第一輪第4順位,
women,cht,signed,Via 選秀,梁瑜玲,第二輪第1順位,
women,taipower,signed,Via 選秀,韓汛,第二輪第2順位,
women,taiyuen,signed,Via 選秀,方曉晴,第二輪第4順位,
men,lioneers,signed,傷病回歸,容毅燊,,
men,ghosthawks,signed,旅外歸隊,劉駿霆,from B2 青森熱力,
men,ghosthawks,signed,租借回歸,吳岱豪,from 裕隆,
men,ghosthawks,signed,租借回歸,藍少甫,from 裕隆 / 已離隊,
men,dreamers,signed,租借回歸,王振原,from 柏力力,
men,braves,signed,加盟洋將,金恩 Nick King,,
men,braves,signed,加盟洋將,沃特斯 Brandon Walters,,
men,braves,signed,加盟洋將,威希 Jeff Withey,,
men,braves,signed,加盟洋將,摩爾特力 Arnett Moultrie,,
men,pilots,signed,加盟洋將,瓊斯 Jarrod Jones,,
men,pilots,signed,加盟洋將,布依德 Julian Boyd,,
men,ghosthawks,signed,加盟洋將,鉑金 Nick Perkins,,
men,ghosthawks,signed,加盟洋將,翟蒙 De'Mon Brooks,,
men,ghosthawks,signed,加盟洋將,飛雷神 Branden Frazier,,
men,ghosthawks,signed,加盟洋將,赤崁 Žiga Dimec,,
men,steelers,signed,加盟洋將,艾賽亞 Isaiah Briscoe,,
men,steelers,signed,加盟洋將,喬迪 Jordy Tshimanga,,
men,steelers,signed,加盟洋將,普萊斯 Joshua Price,,
men,mars,signed,加盟洋將,奧利佛 Devin Oliver,,
men,mars,signed,加盟洋將,米勒 Malcolm Miller,,
men,mars,signed,加盟洋將,麥卡倫 Ray McCallum,,
men,mars,signed,加盟洋將,艾力克 Micheal Eric,,
men,dea,signed,加盟洋將,捷翼 Jame Eads,,
men,dea,signed,加盟洋將,葛瑞飛 Bryan Griffin,,
men,dea,signed,加盟洋將,銳尼 Raynere Thornton,,
men,dea,signed,加盟洋將,柯南 Conner Frankamp,,
men,kings,signed,加盟洋將,強森 Chris Johnson,,
men,kings,signed,加盟洋將,沃許本 Jason Washburn,,
men,kings,signed,加盟洋將,桑尼 Sani Sakakini,東超亞外,
men,leopards,signed,加盟洋將,阿修羅 Robert Upshaw III,,
men,lioneers,signed,加盟洋將,米克獅 Kennedy Meeks,,
men,dreamers,signed,加盟洋將,霍爾曼 Aric Holman,,
men,dreamers,signed,加盟洋將,貝奇 Beau Beech,,
men,dreamers,signed,加盟洋將,帕奇爾 Andrew Pacher,,
men,aquas,signed,加盟洋將,摩爾斯 Anthony Morse,,
men,aquas,signed,加盟洋將,威勝 Kaleb Wesson,,
men,aquas,signed,加盟洋將,比斯赫 Terrence Bieshaar,,
,,,,,,
men,oversea,lost,離隊,劉駿霆,原 B2青森熱力 / 加盟 獵鷹,
